imageSrc,czechName,info
images/image17.jpeg,KÁNĚ LESNÍ,"KÁNĚ LESNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image18.jpeg,PUŠTÍK OBECNÝ,"PUŠTÍK OBECNÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image19.jpeg,VÝR VELKÝ,"VÝR VELKÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image20.jpeg,SOVA PÁLENÁ,"SOVA PÁLENÁ loví hlavně v noci a dokáže létat téměř úplně tiše. Má výborný sluch, díky kterému najde kořist i ve tmě. Oči má uzpůsobené na noční vidění, takže vidí lépe než člověk. Patří mezi nejzajímavější noční predátory u nás."
images/image21.jpeg,KACHNA DIVOKÁ,KACHNA DIVOKÁ žije u vody a dobře plave díky blánám na nohách. Samci mají výraznější zbarvení než samice. Živí se rostlinami i drobnými živočichy. Mláďata dokážou plavat hned po vylíhnutí.
images/image22.jpeg,LABUŤ VELKÁ,"LABUŤ VELKÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image23.jpeg,HUSA VELKÁ,"HUSA VELKÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image24.jpeg,POTÁPKA ROHÁČ,"POTÁPKA ROHÁČ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image25.jpeg,RACEK CHECHTAVÝ,"RACEK CHECHTAVÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image26.jpeg,LYSKA ČERNÁ,"LYSKA ČERNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image27.jpeg,HOLUB HŘÍVNÁČ,"HOLUB HŘÍVNÁČ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image28.jpeg,HRDLIČKA ZAHRADNÍ,"HRDLIČKA ZAHRADNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image29.jpeg,STRAKAPOUD VELKÝ,"STRAKAPOUD VELKÝ patří mezi nejinteligentnější ptáky. Dokáže se poznat v zrcadle, což umí jen málo zvířat. Staví velká hnízda z větví. Často sbírá lesklé předměty, které ji zaujmou."
images/image30.jpeg,DATEL ČERNÝ,"DATEL ČERNÝ je známý tím, že bubnuje zobákem do stromů až desítky úderů za sekundu. Má speciální lebku, která tlumí nárazy, takže si neublíží. Pod kůrou hledá hmyz, který je pro něj hlavní potravou. Jeho dutiny ve stromech pak často využívají i jiná zvířata jako úkryt."
images/image31.jpeg,ŽLUNA ZELENÁ,"ŽLUNA ZELENÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image32.jpeg,BAŽANT OBECNÝ,"BAŽANT OBECNÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image33.jpeg,KOROPTEV POLNÍ,"KOROPTEV POLNÍ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image34.jpeg,KUKAČKA OBECNÁ,"KUKAČKA OBECNÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image35.jpeg,KORMORÁN VELKÝ,"KORMORÁN VELKÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image36.jpeg,VOLAVKA POPELAVÁ,"VOLAVKA POPELAVÁ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image37.jpeg,ČÁP BÍLÝ,ČÁP BÍLÝ je známý svými dlouhými cestami do Afriky. Staví velká hnízda na komínech nebo sloupech. Živí se například žábami a hmyzem. Je spojován s příchodem jara.
images/image38.jpeg,TUČŇÁK PATAGONSKÝ,"TUČŇÁK PATAGONSKÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
images/image39.jpeg,ALBATROS STĚHOVAVÝ,"ALBATROS STĚHOVAVÝ má své jedinečné vlastnosti, které ho odlišují od ostatních ptáků. Přizpůsobil se prostředí, ve kterém žije. Zajímavé je jeho chování při hledání potravy i péči o mláďata. Každý druh má vlastní způsob komunikace i obrany."
